,ticker,compName,volume
0,HR,Healthcare Realty Trust Incorporated Common Stock,1340309.6385542168
0,LPCN,Lipocine Inc.,1342083.1325301204
0,PRGO,Perrigo,1342144.5783132531
0,DRRX,DURECT Corporation,1343609.6385542168
0,TTMI,"TTM Technologies, Inc.",1344704.8192771084
0,TIVO,TiVo Inc.,1347853.0120481928
0,WSM,Williams,1347945.78313253
0,AWK,American Water Works Company Inc,1352034.939759036
0,WMC,Western Asset Mortgage Capital Corporation Common Stock,1353008.4337349397
0,TRN,"Trinity Industries, Inc. Common Stock",1355427.7108433736
0,RJF,"Raymond James Financial, Inc. Common Stock",1356284.3373493976
0,OXLC,Oxford Lane Capital Corp.,1358159.0361445784
0,RH,Restoration Hardware Holdings Inc. Common Stock,1360693.9759036144
0,INSM,"Insmed, Inc.",1362050.6024096385
0,CDW,CDW Corporation,1363171.0843373493
0,TSU,TIM Participacoes S.A. American Depositary Shares (Each representing 5 Common Shares),1364980.7228915663
0,CBAY,CymaBay Therapeutics Inc.,1365400.0
0,PACD,Pacific Drilling S.A. Common Shares,1367808.4337349397
0,ETM,Entercom Communications Corporation Common Stock,1368274.6987951808
0,PDCO,"Patterson Companies, Inc.",1369621.686746988
0,IRBT,iRobot Corporation,1372492.7710843373
0,FLS,Flowserve Corporation Common Stock,1373074.6987951808
0,BG,Bunge Limited Bunge Limited,1378881.9277108433
0,BAH,Booz Allen Hamilton Holding Corporation Common Stock,1380556.626506024
0,USA,Liberty All,1384962.6506024096
0,NS,Nustar Energy L.P.  Common Units,1386456.626506024
0,L,Loews Corporation Common Stock,1391027.7108433736
0,AKBA,"Akebia Therapeutics, Inc.",1393742.1686746988
0,INN,"Summit Hotel Properties, Inc. Common Stock",1394334.939759036
0,MEIP,"MEI Pharma, Inc.",1395934.939759036
0,BCE,"BCE, Inc. Common Stock",1396933.7349397591
0,TK,Teekay Corporation Common Stock,1398984.3373493976
0,LEG,"Leggett & Platt, Incorporated Common Stock",1399644.5783132531
0,PACW,PacWest Bancorp,1402131.3253012048
0,TPX,"Tempur Sealy International, Inc. Common Stock",1403522.8915662651
0,ACAD,ACADIA Pharmaceuticals Inc.,1405309.6385542168
0,DEI,"Douglas Emmett, Inc. Common Stock",1409384.3373493976
0,MD,"Mednax, Inc. Common Stock",1410959.0361445784
0,TDC,Teradata Corporation Common Stock,1411363.8554216868
0,CHRS,"Coherus BioSciences, Inc.",1411997.5903614457
0,PNR,Pentair plc. Ordinary Share,1417867.469879518
0,CCK,"Crown Holdings, Inc.",1428834.939759036
0,TU,Telus Corporation Ordinary Shares,1430514.4578313252
0,ILMN,"Illumina, Inc.",1431310.843373494
0,VMC,Vulcan Materials,1436151.8072289156
0,BGG,Briggs & Stratton Corporation Common Stock,1441380.7228915663
0,CEQP,Crestwood Equity Partners LP,1442534.939759036
0,JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),1443939.7590361445
0,FTSM,First Trust Enhanced Short Maturity ETF,1444010.843373494
0,H,Hyatt Hotels Corporation Class A Common Stock,1444484.3373493976
0,TNDM,"Tandem Diabetes Care, Inc.",1447446.9879518072
0,ARR,"ARMOUR Residential REIT, Inc.",1448537.3493975904
0,SNE,Sony Corporation Common Stock,1450337.3493975904
0,APD,Air Products & Chemicals Inc,1450477.1084337349
0,PSTI,"Pluristem Therapeutics, Inc.",1452162.6506024096
0,KSU,Kansas City Southern,1457834.939759036
0,GERN,Geron Corporation,1459365.060240964
0,FRC,FIRST REPUBLIC BANK Common Stock,1459561.4457831325
0,RHI,Robert Half International,1461098.7951807228
0,HXL,Hexcel Corporation Common Stock,1465256.626506024
0,RNG,"Ringcentral, Inc. Class A Common Stock",1467037.3493975904
0,GEO,Geo Group Inc (The) REIT,1467698.7951807228
0,CHKP,Check Point Software Technologies Ltd.,1469527.7108433736
0,ELY,Callaway Golf Company Common Stock,1470242.1686746988
0,PH,Parker,1471237.3493975904
0,REG,Regency Centers Corporation Common Stock,1475298.7951807228
0,NNN,National Retail Properties Common Stock,1475581.9277108433
0,XYL,Xylem Inc.,1479716.8674698796
0,BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",1481819.2771084337
0,ADS,Alliance Data Systems Corporation Common Stock,1487837.3493975904
0,BHF,Brighthouse Financial Inc,1488498.7951807228
0,PVH,PVH Corp. Common Stock,1490733.7349397591
0,CMI,Cummins Inc.,1503718.0722891567
0,PANW,"Palo Alto Networks, Inc. Common Stock",1503767.469879518
0,TWOU,"2U, Inc.",1510954.21686747
0,CONE,CyrusOne Inc,1513753.0120481928
0,LTM,Life Time Fitness Common Stock,1514930.1204819276
0,EMN,Eastman Chemical,1519456.626506024
0,VMW,"Vmware, Inc. Common stock, Class A",1519591.5662650603
0,CNO,"CNO Financial Group, Inc. Common Stock",1524857.8313253012
0,DVA,DaVita HealthCare Partners Inc. Common Stock,1525548.1927710844
0,CPAH,CounterPath Corporation,1527880.7228915663
0,ORC,"Orchid Island Capital, Inc. Common Stock",1531302.4096385543
0,HUM,Humana Inc. Common Stock,1531897.5903614457
0,RSG,"Republic Services, Inc. Common Stock",1536104.8192771084
0,FOSL,"Fossil Group, Inc.",1536554.21686747
0,CROX,"Crocs, Inc.",1538722.8915662651
0,AIV,Apartment Investment & Management,1539446.9879518072
0,ASB,Associated Banc,1544193.9759036144
0,SHLX,"Shell Midstream Partners, L.P. Common Units representing Limited Partner Interests",1547569.8795180724
